,ra,dec,clusterid,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,ps_id,ra_ps,dec_ps,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,catwise_id,ra_cat,dec_cat,pmra_cat,pmdec_cat,e_pmra_cat,e_pmdec_cat,snrw1pm,snrw2pm,w1mpropm,e_w1mpropm,w2mpropm,e_w2mpropm,chi2pmra_cat,chi2pmdec_cat,phot_bp_rp_excess_factor_c,fpm0,log_fpm0,p_gal_mean,p_qso_mean,p_star_mean,z_gaia,z_ph_xgb,z_ph_tab,z_ph_ftt,z_ph,z_xp_nn,ps1_good,sep_mean,sep_min,sep_max,"z_diff(max,z_ph)",dis(max),qso_num,S_colour,Wen_BCG_RA,Wen_BCG_DEC,Zou_BCG_RA,Zou_BCG_DEC,eROSITA_cluster_RA,eROSITA_cluster_DEC,Grade
211,160.77470293,11.30162624,323746090,3870742346698153984,234.36091654,55.97497055,-0.7,1.1,2.6,1.2,1.3,1.0,0.2,20.5287,20.4346,20.1945,0.3341,1.1902,121561607746912481,160.7747,11.301626,20.515,0.027000000000000003,20.237,0.019,20.085,0.018000000000000002,20.023,0.019,19.782,0.029,b'1615p106_b0-009578',160.7747382,11.3015969,-0.00277,0.04957,0.0335,0.0402,30.8,21.6,16.401,0.035,15.624,0.05,7.02,1.01,0.0209,0.009000000000000001,-2.043,0.0,1.0,0.0,1.6249,1.8543,1.8693,1.8138,1.8458,,True,18.162779999999998,18.162779999999998,18.162779999999998,1.3646,153.13481233503254,2.0,0.7827000000000008,,,,,,,B
212,160.77970157,11.30043153,323746090,3870742346698153728,234.36740759,55.97847244,-0.2,0.5,-0.7,0.7,0.4,0.5,0.2,19.8726,19.9615,19.2049,0.6677,1.6321,121561607796781029,160.77971000000005,11.300428,19.962,0.031,19.886,0.018000000000000002,19.729,0.02,19.638,0.04,19.233,0.025,b'1615p106_b0-002792',160.7797056,11.300413,0.01852,0.00927,0.014,0.0155,59.8,50.5,15.309,0.018000000000000002,14.548,0.021,1.11,2.22,0.4422,0.157,-0.8029999999999999,0.0,1.0,0.0,0.4828,0.4777,0.4717,0.4943,0.4812,,True,18.162779999999998,18.162779999999998,18.162779999999998,1.3646,153.13481233503254,2.0,0.7827000000000008,,,,,,,B
213,158.88378069,-14.14481235,32437,3750821465315106432,260.08131634,37.17399906,-0.0,0.1,-0.1,0.2,0.2,0.1,-0.0,18.0495,17.7557,17.2684,0.7811,1.2127,91021588837816616,158.88379,-14.144814000000002,17.792,0.006999999999999999,17.642,0.004,17.558,0.009000000000000001,17.419,0.004,17.349,0.012,b'1582m137_b0-001975',158.88376499999995,-14.1447996,0.0075200000000000015,-0.00969,0.0072,0.0077,70.0,97.8,14.495,0.016,13.132,0.011,6.74,2.47,0.0145,2.622,0.419,0.0,1.0,0.0,1.73,1.7607,1.7259,1.7457,1.7441,,True,49.61987,49.61987,49.61987,0.2916000000000001,419.67895664009245,2.0,0.8541999999999998,,,,,,,B
214,158.89767195,-14.14773437,32437,3750821259156674048,260.09681423,37.18012273,0.3,0.5,1.6,0.6,-0.0,0.5,0.0,19.8118,19.811,19.3912,0.4207,1.3443,91021588976613145,158.89767,-14.147735999999998,20.358,0.033,20.054,0.032,19.938,0.045,20.167,0.061,20.097,0.209,b'1582m137_b0-013848',158.89765480000003,-14.1477795,-0.01784,-0.08509,0.0356,0.0411,27.7,21.8,16.590999999999998,0.039,15.616,0.05,0.65,0.03,0.1701,0.015,-1.836,0.0,1.0,0.0,1.4648,1.4832,1.4342,1.4402,1.4525,,True,49.61987,49.61987,49.61987,0.2916000000000001,419.67895664009245,2.0,0.8541999999999998,,,,,,,B
215,64.82281984,-15.25785599,32861,3175489189898883584,210.15580348,-40.46990688,-0.8,1.3,0.8,0.9,0.2,1.1,0.4,20.93,20.7275,20.3876,0.5424,1.1775,89690648228260945,64.82282,-15.257863,21.279,0.08199999999999999,21.103,0.06,20.664,0.027000000000000003,20.641,0.098,20.445,0.08900000000000001,b'0641m152_b0-016547',64.8228476,-15.2578728,-0.04202,-0.06224,0.039,0.0393,26.1,23.4,16.778,0.042,15.7,0.046,6.72,0.33,-0.0043,0.114,-0.942,0.0,1.0,0.0,2.6065,1.6389,1.6681,1.6414,1.6495,,True,31.86853,31.86853,31.86853,0.5116,269.9553279988063,2.0,0.8032999999999996,,,,,,,B
216,64.83025304,-15.25266588,32861,3175489297273077120,210.15318054,-40.46128236,-0.5,0.5,0.4,0.4,-0.2,0.4,0.1,20.1842,20.1041,19.9537,0.2305,1.1571,89690648302247208,64.83025,-15.252663,20.334,0.027000000000000003,20.012,0.024,19.963,0.021,20.351,0.018000000000000002,20.404,0.392,b'0641m152_b0-009070',64.83018,-15.2526246,-0.0108,-0.03754,0.0236,0.0245,39.0,39.5,16.178,0.028,15.12,0.027000000000000003,4.39,4.14,-0.0068,0.43,-0.366,0.0,1.0,0.0,0.2187,1.0901,1.193,1.1306,1.1379,,True,31.86853,31.86853,31.86853,0.5116,269.9553279988063,2.0,0.8032999999999996,,,,,,,B
217,164.36806971,9.50953639,336132721,3867792464375149184,240.74751354,57.86373374,-2.3,1.6,0.9,1.3,-1.1,1.1,-0.2,20.9422,20.7177,20.3663,0.5759,1.1715,119411643680851899,164.36807,9.509532,21.305,0.213,21.294,0.043,20.66,0.039,20.949,0.08,,,b'1639p090_b0-019893',164.3681128,9.5096172,-0.09967,0.21713,0.0492,0.0604,19.3,17.5,17.027,0.056,15.956,0.062,0.88,18.07,-0.0123,0.058,-1.236,0.0,1.0,0.0,0.6069,1.5671,1.6545,1.5956,1.6057,,True,19.45392,19.45392,19.45392,0.3992000000000002,164.82269464703262,2.0,0.8396000000000002,,,,,,,B
218,164.37264108,9.51251547,336132721,3867792460080434944,240.74815032,57.86912698,-0.2,0.3,-0.7,0.5,-0.4,0.3,0.2,19.8147,19.4971,19.0315,0.7832,1.1876,119411643726515546,164.37263000000004,9.512517,19.977,0.017,19.706,0.024,19.47,0.016,19.315,0.017,19.381,0.033,b'1639p090_b0-005296',164.37264119999998,9.5124866,0.03723,0.00194,0.021,0.0253,37.4,39.1,15.986,0.029,14.786,0.028,10.35,0.02,-0.0108,0.242,-0.617,0.0,1.0,0.0,2.1495,2.0041,2.0259,1.9846,2.0049,,True,19.45392,19.45392,19.45392,0.3992000000000002,164.82269464703262,2.0,0.8396000000000002,,,,,,,B
219,169.55543883,-17.50670515,33810,3558502656685881088,273.44146229,39.967574,-0.5,0.8,0.4,1.0,0.5,0.5,0.3,20.7768,20.4261,20.1036,0.6732,1.0915,86991695554362320,169.55544,-17.506706,20.609,0.025,20.424,0.043,20.307,0.038,20.313,0.044,20.076,0.047,b'1696m182_b0-031585',169.5554717,-17.5067487,0.01813,0.07807,0.0854,0.0878,15.5,9.1,17.339000000000002,0.07,16.659000000000002,0.119,1.3,1.35,-0.0987,0.18600000000000005,-0.731,0.0,1.0,0.0,2.9077,2.8905,2.8282,2.9191,2.8792,,True,34.86651,34.86651,34.86651,1.5006,293.68256631799613,2.0,0.7983999999999998,,,,,,,B
220,169.56383951,-17.50126321,33810,3558502691044861568,273.44748644,39.97608802,0.3,0.5,-0.5,0.6,-0.2,0.4,0.1,20.1251,19.9741,19.5149,0.6102,1.2735,86991695638798862,169.56384,-17.501265,20.116,0.016,19.853,0.022,19.806,0.025,19.731,0.024,19.619,0.057,b'1696m182_b0-012104',169.5638742,-17.5012734,0.10089,0.06921000000000001,0.0346,0.0406,27.5,27.0,16.468,0.039,15.308,0.04,2.76,0.02,0.0875,0.4370000000000001,-0.36,0.0,1.0,0.0,1.3388,1.4019,1.3649,1.3691,1.3786,,True,34.86651,34.86651,34.86651,1.5006,293.68256631799613,2.0,0.7983999999999998,,,,,,,B
