,ra,dec,clusterid,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,ps_id,ra_ps,dec_ps,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,catwise_id,ra_cat,dec_cat,pmra_cat,pmdec_cat,e_pmra_cat,e_pmdec_cat,snrw1pm,snrw2pm,w1mpropm,e_w1mpropm,w2mpropm,e_w2mpropm,chi2pmra_cat,chi2pmdec_cat,phot_bp_rp_excess_factor_c,fpm0,log_fpm0,p_gal_mean,p_qso_mean,p_star_mean,z_gaia,z_ph_xgb,z_ph_tab,z_ph_ftt,z_ph,z_xp_nn,ps1_good,sep_mean,sep_min,sep_max,"z_diff(max,z_ph)",dis(max),qso_num,S_colour,Wen_BCG_RA,Wen_BCG_DEC,Zou_BCG_RA,Zou_BCG_DEC,eROSITA_cluster_RA,eROSITA_cluster_DEC,Grade
0,253.47010072,38.76169936,10030,1352021585561433600,62.32514503,38.75900133,-0.1,0.1,-0.0,0.1,0.2,0.2,0.2,18.5078,18.5234,17.8033,0.7044,1.5528,154512534701284653,253.47011,38.761696,18.496,0.009000000000000001,18.394,0.02,18.429,0.017,17.917,0.01,18.197,0.034,b'2535p393_b0-001525',253.470117,38.76169779999999,-0.00396,-0.0038,0.0051,0.0054,77.6,105.3,13.791,0.014,12.893,0.01,3.75,19.59,0.3603,3.727,0.5710000000000001,0.0,1.0,0.0,0.3219,0.3275,0.3186,0.3486,0.3316,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
1,253.47842203,38.76213399,10030,1352021585561433088,62.32657575,38.75259464,-1.4,0.9,-3.0,1.2,-0.4,1.2,0.4,20.7386,20.8664,20.1505,0.5881,1.6297,154512534784815216,253.47842000000003,38.76213,21.075,0.031,20.888,0.043,20.69,0.028,20.621,0.075,20.193,0.202,b'2535p393_b0-034004',253.4788465,38.7619269,-0.01523,-0.13011,0.0482,0.0518,24.2,14.2,17.232,0.045,16.57,0.076,1.75,2.55,0.4451,0.004,-2.391,0.005,0.995,0.0,1.7572,2.0761,2.0906,1.9492,2.0386,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
2,253.47010072,38.76169936,10030,1352021585561433600,62.32514503,38.75900133,-0.1,0.1,-0.0,0.1,0.2,0.2,0.2,18.5078,18.5234,17.8033,0.7044,1.5528,154512534701284653,253.47011,38.761696,18.496,0.009000000000000001,18.394,0.02,18.429,0.017,17.917,0.01,18.197,0.034,b'2535p393_b0-001525',253.470117,38.76169779999999,-0.00396,-0.0038,0.0051,0.0054,77.6,105.3,13.791,0.014,12.893,0.01,3.75,19.59,0.3603,3.727,0.5710000000000001,0.0,1.0,0.0,0.3219,0.3275,0.3186,0.3486,0.3316,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
3,253.47842203,38.76213399,10030,1352021585561433088,62.32657575,38.75259464,-1.4,0.9,-3.0,1.2,-0.4,1.2,0.4,20.7386,20.8664,20.1505,0.5881,1.6297,154512534784815216,253.47842000000003,38.76213,21.075,0.031,20.888,0.043,20.69,0.028,20.621,0.075,20.193,0.202,b'2535p393_b0-034004',253.4788465,38.7619269,-0.01523,-0.13011,0.0482,0.0518,24.2,14.2,17.232,0.045,16.57,0.076,1.75,2.55,0.4451,0.004,-2.391,0.005,0.995,0.0,1.7572,2.0761,2.0906,1.9492,2.0386,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
4,141.40577176,38.01011552,10307,811493079411992192,185.18433824,45.86986448,0.1,0.2,0.0,0.2,0.1,0.2,-0.4,18.9099,18.7319,18.3858,0.5241,1.1944,153611414057152767,141.40576,38.010113,19.016,0.009000000000000001,18.883,0.006999999999999999,18.846,0.006,18.628,0.011,18.644,0.021,b'1421p378_b0-004007',141.4057595,38.0101417,0.00053,-0.0292,0.0152,0.0183,42.7,50.3,15.735,0.025,14.473,0.022,13.52,0.0,0.0137,4.472,0.65,0.0,1.0,0.0,2.2107,2.2103,2.1948,2.1744,2.1932,2.2464,True,30.78104,30.78104,30.78104,0.4000000000000001,259.99227092454083,2.0,0.8766999999999996,,,,,,,A
5,141.41635157,38.00821311,10307,811305406521184384,185.18737454,45.87814931,-2.3,0.9,-1.4,0.9,0.2,0.8,-0.5,20.7239,20.608,20.3751,0.3488,1.1734,153611414163340505,141.41635,38.00821,20.858,0.023,20.89,0.018000000000000002,20.615,0.015,20.584,0.045,20.346,0.147,b'1421p378_b0-023050',141.4163408,38.00830120000001,0.1134,0.0469,0.0599,0.0708,16.3,14.4,17.285999999999998,0.067,16.108,0.075,2.5,0.33,0.0033,0.08,-1.096,0.0,1.0,0.0,5.6052,1.8118,1.8132,1.7545,1.7932,,True,30.78104,30.78104,30.78104,0.4000000000000001,259.99227092454083,2.0,0.8766999999999996,,,,,,,A
6,236.12346237,37.96219232,10331,1376354881690637312,60.79669668,52.32231438,-0.5,1.2,-0.0,1.7,1.0,1.2,0.4,20.985,20.7383,19.8696,1.1154,1.5148,153552361235365216,236.12346,37.9622,20.492,0.049,20.635,0.028,20.612,0.019,20.313,0.034,20.427,0.151,b'2368p378_b0-021428',236.1235119,37.9620809,0.00197,-0.00701,0.0461,0.0508,23.0,18.1,17.236,0.047,16.279,0.06,1.91,0.24,0.2869,0.054000000000000006,-1.272,0.001,0.999,0.0,0.5555,1.5892,2.0336,2.0613,1.8947,,True,39.10626,39.10626,39.10626,1.0595,329.0579835160575,2.0,0.7490999999999997,,,,,,,A
7,236.12920025,37.95231641,10331,1376354812970813184,60.78009953,52.31843085,-0.2,0.5,0.2,0.4,0.3,0.6,-0.1,20.3569,20.4512,19.8601,0.4968,1.5166,153542361292363392,236.12921,37.952312,20.086,0.061,20.035,0.036000000000000004,20.028,0.027000000000000003,19.771,0.042,20.247,0.129,b'2368p378_b0-006010',236.1291724,37.952319,0.00242,-0.02812,0.015,0.018000000000000002,50.9,47.6,15.899,0.021,15.09,0.023,5.96,5.28,0.3374,0.503,-0.298,0.001,0.999,0.0,2.339,0.9338,0.8029,0.769,0.8352,,True,39.10626,39.10626,39.10626,1.0595,329.0579835160575,2.0,0.7490999999999997,,,,,,,A
8,267.13362856,37.17896377,10622,4609199782119249792,62.73938708,27.88799839,-0.9,0.6,-1.1,0.7,-0.4,0.8,-0.1,20.575,20.5632,19.971,0.604,1.4435,152612671336275403,267.13364,37.17897,20.706,0.041,20.453,0.048,20.442,0.052000000000000005,20.502,0.086,20.124,0.174,b'2671p378_b0-014686',267.1336798,37.1788672,0.00563,0.007240000000000002,0.0186,0.0205,44.3,43.0,16.152,0.025,15.281,0.025,2.11,0.04,0.2579,0.068,-1.165,0.0,1.0,0.0,1.0946,1.1097,1.1068,1.0983,1.1049,,True,21.250429999999998,21.250429999999998,21.250429999999998,0.4185,173.82539224591392,2.0,0.8949999999999999,,,,,,,A
9,267.14060402,37.18095296,10622,4609199885198227200,62.74311602,27.88310136,1.0,0.5,-0.5,0.5,-0.7,0.5,0.2,20.3249,20.2976,19.5995,0.7253,1.5078,152612671406237784,267.1406,37.180954,19.981,0.032,20.077,0.015,20.013,0.022,19.844,0.05,19.751,0.063,b'2671p378_b0-010861',267.1405426,37.1809381,-0.01857,-0.03025,0.0141,0.0155,52.7,56.5,15.811,0.021,14.847,0.019,2.75,0.69,0.3138,0.174,-0.759,0.001,0.999,0.0,0.6765,0.6837,0.6828,0.6928,0.6864,,True,21.250429999999998,21.250429999999998,21.250429999999998,0.4185,173.82539224591392,2.0,0.8949999999999999,,,,,,,A
10,154.86023851,36.85027937,10761,753911346227456512,186.37686997,56.58163183,-1.5,1.0,-0.2,1.0,-0.7,0.8,-0.1,20.7122,20.5966,20.137,0.5752,1.2947,152221548602660884,154.86023,36.850266,20.811,0.052000000000000005,20.721,0.048,20.611,0.024,20.678,0.068,19.893,0.155,b'1548p363_b0-014356',154.8602707,36.8502662,0.01615,-0.06016000000000001,0.0408,0.0436,24.6,25.0,16.802,0.044,15.686,0.043,0.71,0.0,0.1109,0.13,-0.885,0.0,1.0,0.0,0.4601,1.063,1.0917,0.5203,0.8917,,True,33.26319,33.26319,33.26319,0.29300000000000004,258.4637918737506,2.0,0.6876000000000001,,,,,,,A
11,154.86710237,36.8428495,10761,753911140068912128,186.38928378,56.58784776,-0.9,2.3,-1.1,1.8,-1.8,1.7,-0.0,20.5397,20.8869,19.6285,0.9112,2.3398,152211548670952017,154.86711,36.842854,20.515,0.04,20.343,0.025,20.267,0.03,20.034,0.038,19.713,0.066,b'1548p363_b0-002842',154.867174,36.8427348,0.00225,-0.004220000000000001,0.0135,0.0156,46.8,41.1,15.219,0.023,14.758,0.026,3.07,14.52,1.1309,0.025,-1.605,0.002,0.998,0.0,0.5208,0.5724,0.6717,0.5521,0.5987,,True,33.26319,33.26319,33.26319,0.29300000000000004,258.4637918737506,2.0,0.6876000000000001,,,,,,,A
12,120.20308472,35.7086803,11255,906572522790253824,185.10714541,28.78793686,0.3,0.4,0.3,0.6,-0.4,0.4,-0.2,19.8762,19.6965,19.4084,0.4678,1.1635,150851202031121027,120.20309,35.70868,19.837,0.036000000000000004,19.862,0.016,19.697,0.014,19.452,0.024,19.357,0.059,b'1193p363_b0-012248',120.2027949,35.70851629999999,-0.02791,-0.0235,0.0242,0.0301,37.1,29.8,16.104,0.029,15.315,0.036000000000000004,0.25,0.23,-0.0137,0.376,-0.425,0.0,1.0,0.0,2.0661,2.0766,2.0702,2.0566,2.0678,,True,23.101999999999997,23.101999999999997,23.101999999999997,0.07600000000000008,193.47039208861716,2.0,0.915699999999999,,,,,,,A
13,120.2079037,35.71376658,11255,906595994786884736,185.10261686,28.79297965,0.3,0.3,-0.3,0.4,-0.2,0.2,-0.1,19.3916,19.1581,18.8076,0.584,1.1663,150851202077957182,120.2079,35.713768,19.395,0.012,19.306,0.014,19.125,0.005,18.922,0.023,18.957,0.037000000000000005,b'1193p363_b0-012868',120.2078814,35.7137541,-0.02744,-0.02845,0.0229,0.0255,33.1,30.4,15.863,0.033,14.998,0.036000000000000004,0.52,2.65,-0.0181,0.762,-0.118,0.0,1.0,0.0,1.9944,2.0101,1.9786,1.9866,1.9918,,True,23.101999999999997,23.101999999999997,23.101999999999997,0.07600000000000008,193.47039208861716,2.0,0.915699999999999,,,,,,,A
14,121.30378007,71.79830856,1177,1098804130700886272,143.24723493,31.40752868,-0.2,0.2,0.0,0.2,0.1,0.2,0.1,19.3041,19.1167,18.8583,0.4458,1.1443,194151213039118749,121.30378,71.79831,19.328,0.009000000000000001,19.245,0.015,19.067,0.016,19.317,0.052000000000000005,18.933,0.108,b'1215p711_b0-006603',121.303897,71.798323,0.039310000000000005,0.016390000000000002,0.0135,0.0159,51.8,58.2,15.806,0.021,14.614,0.019,11.94,2.22,-0.0315,4.053,0.608,0.0,1.0,0.0,1.2706,1.3616,1.275,1.277,1.3045,,True,42.87327,42.87327,42.87327,0.3240000000000001,363.22375564036463,2.0,0.7605999999999993,,,,,,,A
15,121.32346005,71.8085096,1177,1098801171466430592,143.23435509,31.41211085,-0.2,0.5,-0.6,0.4,-0.7,0.5,0.1,20.4062,20.34,19.9517,0.4545,1.2842,194171213237571060,121.32346,71.80851,20.778,0.034,20.499,0.044,20.254,0.022,20.234,0.037000000000000005,19.757,0.321,b'1215p711_b0-011280',121.3234042,71.8084999,-0.01171,-0.0077,0.0228,0.0252,35.8,40.6,16.456,0.03,15.169,0.027000000000000003,0.58,0.71,0.1079,0.135,-0.87,0.0,1.0,0.0,1.7181,1.6062,1.6745,1.6048,1.6285,,True,42.87327,42.87327,42.87327,0.3240000000000001,363.22375564036463,2.0,0.7605999999999993,,,,,,,A
16,174.25578368,30.58844139,13652,4024046016008493440,196.52452904,73.36430717,0.0,0.3,-0.2,0.3,-0.1,0.3,-0.2,19.455,19.2825,18.8233,0.6317,1.2612,144701742558686670,174.25578000000004,30.58844,19.253,0.032,19.219,0.046,19.021,0.019,19.122,0.035,19.184,0.044,b'1739p302_b0-002156',174.25579309999995,30.5884268,-0.0027,-0.00569,0.0127,0.0139,55.9,68.0,15.464,0.019,14.194,0.016,1.58,6.52,0.0738,1.594,0.203,0.0,1.0,0.0,1.2691,1.3502,1.276,1.3222,1.3161,,True,28.21775,28.21775,28.21775,0.6527000000000001,236.7054516516985,2.0,0.8211000000000007,,,,,,,A
17,174.26345997,30.59265724,13652,4024046119087710848,196.50695938,73.37031941,,,,,,,,20.9062,20.7558,20.3224,0.5838,1.2588,144711742635041692,174.26346999999996,30.59266,20.743,0.052000000000000005,20.804,0.015,20.468,0.041,20.381,0.058,19.973,0.064,b'1739p302_b0-021320',174.26346189999995,30.5926269,0.03037,-0.12564,0.0577,0.0645,17.4,15.7,17.343,0.063,16.153,0.069,0.21,0.19,0.0745,,99.0,0.0,1.0,0.0,2.9918,1.9269,1.9632,2.0164,1.9688,,True,28.21775,28.21775,28.21775,0.6527000000000001,236.7054516516985,2.0,0.8211000000000007,,,,,,,A
18,121.60988608,27.7705647,14830,683839641988157824,194.14718284,27.74840099,1.1,0.8,-0.1,0.8,0.3,0.6,-0.3,20.0238,20.2997,19.0838,0.94,2.225,141321216100045349,121.60988600000002,27.770565,20.427,0.046,19.895,0.029,19.581,0.027000000000000003,19.171,0.027000000000000003,19.224,0.07200000000000001,b'1216p272_b0-003956',121.6098694,27.7705613,-0.00377,0.02184,0.0102,0.0121,61.0,61.3,14.883,0.018000000000000002,14.06,0.018000000000000002,14.09,0.88,1.0136,0.316,-0.501,0.005,0.995,0.0,0.258,0.2567,0.2661,0.3165,0.2798,,True,24.811529999999998,24.811529999999998,24.811529999999998,0.8524,203.8556308037936,2.0,0.7964999999999997,121.61655,27.76974,,,,,A
19,121.61750397,27.77200263,14830,683839745068714880,194.14796049,27.75525863,0.3,0.6,-0.1,0.6,-0.0,0.4,-0.1,20.0671,19.9218,19.3652,0.7018,1.3372,141321216175057007,121.6175,27.772001,20.02,0.026,19.641,0.009000000000000001,19.51,0.013,19.408,0.037000000000000005,19.413,0.115,b'1216p272_b0-005091',121.6174919,27.7719529,0.00389,0.00353,0.0139,0.0153,46.8,50.8,15.248,0.023,14.259,0.021,1.95,1.36,0.1449,0.738,-0.132,0.001,0.999,0.0,1.7483,1.0934,1.1626,1.1408,1.1322,,True,24.811529999999998,24.811529999999998,24.811529999999998,0.8524,203.8556308037936,2.0,0.7964999999999997,121.61655,27.76974,,,,,A
20,136.24569398,27.44276669,14982,692293546375566592,198.73398701,40.14905802,,,,,,,,20.5302,20.7345,19.9852,0.545,1.7147,140931362456381907,136.2457,27.442768,20.33,0.061,20.257,0.055,20.336,0.054000000000000006,19.866,0.05,19.904,0.069,b'1369p272_b0-003651',136.24562780000002,27.442860600000003,-0.02353,-0.03258,0.0146,0.0173,53.9,43.6,15.363,0.02,14.752,0.025,2.33,4.56,0.5327,,99.0,0.0,1.0,0.0,0.3528,0.7388,0.7912,0.7485,0.7595,,True,26.98821,26.98821,26.98821,0.9506,228.42767812967963,2.0,0.7721999999999998,,,,,,,A
21,136.25166022,27.44807391,14982,692293546375567744,198.72885793,40.155448,-1.0,0.8,-1.9,1.1,0.4,0.7,-0.4,20.3377,20.2198,19.9485,0.3892,1.1909999999999998,140931362516448263,136.25166000000002,27.448067,20.684,0.048,20.674,0.04,20.289,0.019,20.545,0.115,20.308,0.205,b'1369p272_b0-012823',136.251665,27.4480464,0.03547,-0.07148,0.0341,0.0417,25.4,27.0,16.725,0.043,15.408,0.04,0.02,0.02,0.0186,0.053,-1.272,0.0,1.0,0.0,1.747,1.68,1.7509,1.6995,1.7101,,True,26.98821,26.98821,26.98821,0.9506,228.42767812967963,2.0,0.7721999999999998,,,,,,,A
22,359.26615996,26.76866097,15259,2854302086576899968,108.17343798,-34.54001231,-2.5,1.3,-3.1,1.6,0.0,1.3,0.1,20.8259,20.6642,20.0504,0.7755,1.3657,140123592661422920,359.2661700000001,26.768658,21.722,0.056,21.198,0.104,20.98,0.205,20.861,0.046,20.435,0.181,b'0000p272_b0-024550',359.2662315,26.7687933,-0.0405,-0.16725,0.0628,0.062,19.7,13.8,17.13,0.055,16.273,0.079,1.39,1.68,0.168,0.01,-1.996,0.001,0.999,0.0,4.1738,1.4861,1.346,1.5667,1.4663,,True,48.668409999999994,48.668409999999994,48.668409999999994,1.0573,411.4887322967418,2.0,0.5213000000000003,,,,,,,A
23,359.27856578,26.76091047,15259,2854302090871978368,108.18405686,-34.55032062,-0.5,0.2,0.3,0.3,-0.1,0.1,-0.1,18.8769,18.6923,18.3332,0.5437,1.1978,140113592785473650,359.27856,26.760914,18.823,0.019,18.782,0.011,18.781,0.01,18.65,0.022,18.543,0.024,b'0000p272_b0-007625',359.2785689,26.760883000000003,-0.01351,0.015969999999999998,0.0235,0.0228,44.5,36.3,16.032,0.024,15.042,0.03,1.84,1.04,0.0159,1.6969999999999998,0.23,0.0,1.0,0.0,2.5279,2.5391,2.5202,2.5116,2.5236,2.4064,True,48.668409999999994,48.668409999999994,48.668409999999994,1.0573,411.4887322967418,2.0,0.5213000000000003,,,,,,,A
24,22.00926775,23.57047876,16555,290316012271560448,133.67064261,-38.53690715,,,,,,,,20.8731,21.0445,21.3262,-0.4531,1.1740000000000002,136280220092765091,22.00926,23.570477,21.385,0.023,21.028,0.059,20.837,0.038,20.659,0.153,,,b'0214p242_b0-024106',22.0088821,23.570355300000006,-0.24998,0.19333,0.0534,0.055,20.7,10.7,16.929000000000002,0.052000000000000005,16.459,0.102,0.27,0.57,0.0283,,99.0,0.0,1.0,0.0,2.3516,2.2201,2.0207,2.0847,2.1085,,True,32.10788,32.10788,32.10788,0.5692000000000004,267.04361465862013,2.0,0.8382000000000005,,,,,,,A
25,22.01195494,23.57905081,16555,290316085285451776,133.67175633,-38.52803095,0.3,2.7,0.8,1.2,1.8,1.3,0.4,21.3424,20.7129,20.0201,1.3223,1.2029,136290220119315472,22.011953,23.579062,21.47,0.046,21.0,0.04,20.709,0.036000000000000004,20.515,0.067,20.163,0.17800000000000002,b'0214p242_b0-020961',22.0119463,23.5790907,0.09171,-0.08402000000000001,0.045,0.0452,23.0,18.5,16.88,0.047,15.793,0.059,1.18,1.32,-0.0468,0.043,-1.369,0.0,1.0,0.0,2.9725,2.643,2.5585,2.8317,2.6777,,True,32.10788,32.10788,32.10788,0.5692000000000004,267.04361465862013,2.0,0.8382000000000005,,,,,,,A
26,17.99990919,21.36190725,17538,2790626963029846528,129.30443605,-41.25528515,-0.3,0.5,0.3,0.5,0.1,0.4,0.5,20.0677,19.8263,19.2901,0.7775,1.2704,133630179998874818,17.99991,21.361908,20.262,0.025,19.908,0.019,19.708,0.041,19.67,0.046,19.582,0.048,b'0177p212_b0-006601',17.9999338,21.3619273,0.08962,0.02987,0.0217,0.0226,35.2,30.8,15.797,0.031,15.031,0.035,1.22,4.74,0.0725,0.757,-0.121,0.001,0.999,0.0,0.6122,1.1078,1.264,1.0849,1.1522,,True,22.70187,22.70187,22.70187,0.2115999999999999,187.082063052934,2.0,0.7865000000000002,17.99825,21.35764,18.00310751024156,21.35760793145929,,,A
27,18.00433109,21.35713156,17538,2790626967324826368,129.31055735,-41.25959686,,,,,,,,20.8973,20.7163,20.1692,0.7281,1.3106,133620180043139115,18.004324,21.357128,20.819000000000006,0.046,20.509,0.043,20.677,0.095,20.175,0.08,19.629,0.051,b'0177p212_b0-004395',18.0043201,21.3570065,0.04052,0.00346,0.0208,0.0199,23.2,23.7,15.629,0.047,14.991,0.046,9.71,0.76,0.1164,,99.0,0.001,0.999,0.0,0.9876,0.9962,0.8746,0.9509,0.9406,,True,22.70187,22.70187,22.70187,0.2115999999999999,187.082063052934,2.0,0.7865000000000002,17.99825,21.35764,18.00310751024156,21.35760793145929,,,A
28,313.28225537,4.841051599999999,24503,1734792506955114624,52.48593812,-24.24128338,0.2,0.7,-0.6,1.1,-0.2,0.8,0.4,20.4482,20.2738,19.9428,0.5054,1.1886,113803132823239845,313.28226,4.8410554,21.0,0.044,20.611,0.024,20.531,0.03,20.477,0.042,,,b'3129p045_b0-016209',313.2823668000001,4.8409992,-0.00933,0.03476,0.0186,0.0201,42.5,38.7,15.774,0.026,14.879,0.028,10.07,0.62,0.009000000000000001,0.161,-0.7929999999999999,0.0,1.0,0.0,2.5557,1.1852,1.223,1.217,1.2084,,True,45.77859,45.77859,45.77859,0.4414999999999999,380.0469424181018,2.0,0.8836000000000004,313.29721,4.84175,313.27148315824866,4.8269105309395055,,,A
29,313.28780972,4.82960293,24503,1734792403875874304,52.47864753,-24.25212382,0.4,0.7,-2.7,1.1,1.0,0.6,-0.3,20.3593,20.3006,19.5846,0.7746,1.5011,113793132878145965,313.2878,4.8295984,20.821,0.032,20.757,0.037000000000000005,20.406,0.038,20.142,0.07200000000000001,19.929,0.189,b'3129p045_b0-012342',313.2878237,4.829568,0.0030800000000000003,0.02556,0.016,0.0168,48.7,42.2,15.461,0.022,14.768,0.026,4.39,1.48,0.3034,0.005,-2.29,0.0,1.0,0.0,0.0868,0.7201,0.6776,0.9031,0.7669,,True,45.77859,45.77859,45.77859,0.4414999999999999,380.0469424181018,2.0,0.8836000000000004,313.29721,4.84175,313.27148315824866,4.8269105309395055,,,A
30,116.03657661,18.3094916,276130114,671284426086004736,201.8587992,19.62478664,-0.1,0.8,1.8,0.6,-0.6,0.4,0.0,20.3534,20.1837,19.9638,0.3896,1.1358,129971160365431936,116.036575,18.30949,20.733,0.016,20.493,0.035,20.37,0.03,20.367,0.07400000000000001,20.028,0.161,b'1157p181_b0-021673',116.0366038,18.3095242,0.08331000000000001,0.02336,0.0341,0.0397,28.0,24.4,16.553,0.039,15.404000000000002,0.045,0.55,0.14,-0.0367,0.003,-2.543,0.0,1.0,0.0,1.3459,1.3835,1.3513,1.3553,1.3634,,True,24.34577,24.34577,24.34577,0.5168999999999999,204.8847962904243,2.0,0.8547000000000005,116.03868,18.31414,,,,,A
31,116.03824795,18.31606554,276130114,671284426085386880,201.85303828,19.62882279,-1.7,1.5,-1.4,2.5,0.9,2.1,-0.3,20.731,20.6994,20.1153,0.6157,1.4252,129971160382189845,116.038246,18.316067,20.688,0.049,20.479,0.023,20.655,0.062,20.209,0.108,20.151,0.022,b'1157p181_b0-013491',116.0383037,18.3159585,-0.017240000000000002,-0.02574,0.0262,0.03,37.5,25.6,15.869000000000002,0.029,15.308,0.042,0.03,0.57,0.2388,0.026,-1.585,0.001,0.999,0.0,2.2032,0.8781,0.8086,0.8526,0.8465,,True,24.34577,24.34577,24.34577,0.5168999999999999,204.8847962904243,2.0,0.8547000000000005,116.03868,18.31414,,,,,A
32,152.78748739,16.95422794,285242963,622397557838214528,219.80679628,51.66703039,0.7,0.4,1.0,0.6,-0.1,0.4,0.0,19.9505,19.9489,19.4254,0.525,1.4059,128341527875105615,152.78749,16.954227,19.757,0.021,19.732,0.03,19.837,0.022,19.744,0.038,19.726,0.083,b'1524p166_b0-003416',152.787519,16.954129199999993,0.053520000000000005,-0.004220000000000001,0.0145,0.0166,52.6,50.0,15.44,0.021,14.566,0.022,0.59,0.38,0.2252,0.175,-0.757,0.0,1.0,0.0,0.7717,0.7781,0.7538,0.7616,0.7645,,True,15.077729999999999,15.077729999999999,15.077729999999999,0.9327,127.64643818610416,2.0,0.8311000000000005,,,,,,,A
33,152.78768982,16.95004416,285242963,622397562133590016,219.81314675,51.66560658,-0.2,0.6,-0.0,0.7,-0.1,0.5,-0.2,20.4372,20.3277,19.7344,0.7029,1.3826,128341527877090585,152.7877,16.950043,20.759,0.052000000000000005,20.652,0.068,20.265,0.026,20.271,0.04,19.974,0.204,b'1524p166_b0-010864',152.78774740000003,16.9500034,0.01128,0.02405,0.0349,0.0387,24.3,26.9,16.677,0.045,15.299,0.04,2.9,0.71,0.1902,0.48,-0.319,0.0,1.0,0.0,3.1235,1.7446,1.6757,1.6714,1.6972,,True,15.077729999999999,15.077729999999999,15.077729999999999,0.9327,127.64643818610416,2.0,0.8311000000000005,,,,,,,A
34,340.23734313,-6.75198514,29535,2623378015946035200,60.2682525,-52.93946896,0.2,0.2,0.2,0.2,0.0,0.2,0.2,18.6336,18.3991,17.9467,0.6869,1.2228,99893402373368019,340.23734,-6.7519855,18.687,0.01,18.403,0.01,18.295,0.009000000000000001,18.353,0.017,18.376,0.027000000000000003,b'3402m061_b0-002036',340.23740289999995,-6.7520069000000005,-0.01219,-0.00613,0.0089,0.0092,60.1,82.3,14.68,0.018000000000000002,13.31,0.013,9.31,0.14,0.0316,2.424,0.384,0.0,1.0,0.0,1.4340000000000002,1.4336,1.4432,1.4254,1.4341,,True,21.49568,21.49568,21.49568,0.6316999999999999,181.5378670760596,2.0,0.7573999999999999,340.25116,-6.73875,,,,,A
35,340.24224589,-6.74852853,29535,2623378015946036224,60.27770791,-52.94125303,0.4,0.6,-1.0,0.9,0.3,0.6,-0.3,20.0619,19.9261,19.1511,0.9109,1.4994,99903402422052201,340.24225,-6.7485304,19.835,0.017,19.758,0.029,19.698,0.015,19.416,0.022,19.387,0.096,b'3402m061_b0-002780',340.2422217,-6.7485203999999985,-0.01199,-0.03065,0.0134,0.0135,60.0,58.7,14.943,0.018000000000000002,14.216,0.018000000000000002,3.98,0.13,0.2905,0.16899999999999998,-0.772,0.001,0.999,0.0,1.5903,0.7918,0.7973,0.818,0.8024,,True,21.49568,21.49568,21.49568,0.6316999999999999,181.5378670760596,2.0,0.7573999999999999,340.25116,-6.73875,,,,,A
36,173.28085413,-8.65352068,30307,3590471678817374592,272.26289083,49.49760328,-0.1,0.8,-0.1,0.7,0.6,0.5,-0.1,20.7448,20.1864,19.8312,0.9137,1.0174,97611732809186185,173.28085,-8.653519000000001,20.342,0.038,20.277,0.04,20.124,0.044,20.081,0.055,19.789,0.057,b'1731m091_b0-014745',173.2808129,-8.6535884,0.04241,0.08434,0.0464,0.0531,25.3,14.7,16.633,0.043,16.054000000000002,0.07400000000000001,0.0,4.11,-0.1917,0.241,-0.618,0.0,1.0,0.0,1.5723,2.6556,2.3623,2.6737,2.5639,,True,24.145870000000002,24.145870000000002,24.145870000000002,0.6755,193.82536317485267,2.0,0.9094,,,,,,,A
37,173.28336226,-8.64728867,30307,3591972894441251968,272.26187612,49.50427802,0.3,0.7,0.3,0.6,-0.3,0.4,-0.1,20.4654,19.9984,19.8073,0.6581,0.9736,97621732833753660,173.28337,-8.647289,20.265,0.01,19.988,0.013,19.94,0.024,19.94,0.033,19.824,0.07,b'1731m091_b0-014356',173.2833378,-8.6473364,0.02155,-0.03271,0.0436,0.048,27.1,13.9,16.608,0.04,16.16,0.078,0.03,0.09,-0.2156,0.506,-0.29600000000000004,0.0,1.0,0.0,3.262,3.2319,3.2177,3.2687,3.2394,,True,24.145870000000002,24.145870000000002,24.145870000000002,0.6755,193.82536317485267,2.0,0.9094,,,,,,,A
38,36.00174632,-11.77047667,31458,5150685756737885056,182.17952216,-63.40342856,0.8,0.7,1.4,1.1,1.6,1.3,0.6,20.4282,20.2292,19.8029,0.6252,1.2272,93870360017775796,36.001743,-11.77048,20.162,0.034,19.931,0.012,19.929,0.019,19.939,0.057,19.742,0.017,b'0355m122_b0-005397',36.0017948,-11.7705068,0.03998,-0.00687,0.0212,0.0215,37.5,39.5,16.093,0.029,14.938,0.027000000000000003,0.59,2.32,0.0402,0.053,-1.272,0.0,1.0,0.0,5.5925,1.1264,1.226,1.1887,1.1804,,True,36.74985,36.74985,36.74985,0.019200000000000102,304.7688017760973,2.0,0.9292000000000004,,,,,,,A
