,ra,dec,groupid,dv,sep_max,dis,Wen_BCG_RA,Wen_BCG_DEC,Wen_redshift,Wen_M500,ID in Wen_cat,Zou_BCG_RA,Zou_BCG_DEC,Zou_redshift,Zou_M500,ID in Zou_cat,eROSITA_cluster_RA,eROSITA_cluster_DEC,eROSITA_cluster_redshift,eROSITA_cluster_M500,ID in eROSITA_cat,in_J25,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,ps_id,ra_ps,dec_ps,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,catwise_id,ra_cat,dec_cat,pmra_cat,pmdec_cat,e_pmra_cat,e_pmdec_cat,snrw1pm,snrw2pm,w1mpropm,e_w1mpropm,w2mpropm,e_w2mpropm,chi2pmra_cat,chi2pmdec_cat,phot_bp_rp_excess_factor_c,fpm0,log_fpm0,p_gal_mean,p_qso_mean,p_star_mean,z_gaia,z_ph_xgb,z_ph_tab,z_ph_ftt,z_ph,z_xp_nn,ps1_good
43,238.07535025,4.94312409,367957158,75.48224025,11.68527,98.99028455262206,,,,,,,,,,,,,,,,in,4426153571663247616,13.94300399,41.59799215,0.4,0.3,0.2,0.3,-0.2,0.2,-0.1,19.2802,18.9513,18.4351,0.8451,1.2128,113932380753462238,238.07535,4.943121,19.129,0.011,18.85,0.014,18.738,0.006,18.551,0.009000000000000001,18.636,0.039,b'2384p045_b0-005325',238.0753529,4.9431406,0.01083,0.059870000000000013,0.0132,0.015,52.1,62.3,15.528,0.021,14.297,0.017,4.18,0.03,0.0095,1.231,0.09,0.0,1.0,0.0,1.5574,1.557,1.5558,1.5267,1.5465,1.5105,True
44,204.4232976,3.00725213,381520047,136.9876792,10.36851,87.7905343836149,,,,,,,,,,,,,,,,in,3712001901626538112,329.55112693,63.46279066,0.8,0.5,0.1,0.5,-0.5,0.4,-0.3,19.9733,19.7485,19.3054,0.6678,1.2227,111602044233499181,204.4233,3.0072520000000003,19.993,0.023,19.591,0.02,19.508,0.022,19.528,0.025,19.443,0.07400000000000001,b'2042p030_b0-009241',204.4232541,3.0072004,0.00067,-0.01899,0.0267,0.0308,31.0,33.1,16.499000000000002,0.035,15.134,0.033,4.82,0.73,0.0328,0.314,-0.503,0.0,1.0,0.0,1.55,1.4912,1.5542,1.5337,1.5264,,True
45,204.42527245,3.00935116,381520047,136.9876792,10.36851,87.7905343836149,,,,,,,,,,,,,,,,in,3712001901626538240,329.55705012,63.46392746,0.7,0.6,0.2,0.6,-0.2,0.4,-0.3,20.1593,19.9387,19.6172,0.5421,1.1579,111612044253251698,204.42526,3.0093539,20.249,0.044,20.104,0.037000000000000005,19.872,0.02,19.885,0.032,19.823,0.068,b'2042p030_b0-006642',204.4252873,3.0093525000000003,0.02539,-0.06819,0.0221,0.025,35.3,38.0,16.229,0.031,14.901,0.029,0.1,1.17,-0.0239,0.5670000000000001,-0.246,0.0,1.0,0.0,3.0380000000000003,1.3887,1.5185,1.4787,1.462,,True
46,348.92137063,0.49117101,399195151,284.27806947,11.62385,96.99785881601666,,,,,,,,,,,,,,,,not in,2657176969024360320,79.21836597,-54.0467512,-0.2,1.5,0.6,1.3,-0.1,1.4,0.6,20.8947,20.6325,20.0207,0.8739,1.3091,108583489213469833,348.92136,0.4911664000000001,20.81,0.018000000000000002,20.547,0.022,20.487,0.019,20.315,0.036000000000000004,,,b'3494p000_b0-015897',348.9213312,0.4911375,-0.01378,0.07935,0.0549,0.054000000000000006,20.7,17.2,16.921,0.053,15.918,0.063,0.04,0.59,0.1034,0.08800000000000001,-1.056,0.0,1.0,0.0,2.4928,1.9052,1.9512,2.3080000000000003,2.0548,,True
47,348.92359997,0.49350679,399195151,284.27806947,11.62385,96.99785881601666,,,,,,,,,,,,,,,,not in,2657176969024360704,79.2238066,-54.04628045,-2.1,0.8,-0.4,0.8,-0.7,0.8,0.4,20.4668,20.2404,19.8236,0.6432,1.2067,108593489235952632,348.92358,0.4935034,20.987,0.099,20.755,0.045,20.16,0.027000000000000003,20.769,0.108,20.239,0.225,b'3494p000_b0-007908',348.923541,0.4935265,-0.01365,-0.02078,0.031,0.0304,34.2,25.0,16.230999999999998,0.032,15.365,0.043,0.64,1.38,0.0185,0.192,-0.7170000000000001,0.0,1.0,0.0,0.2157,1.0001,1.0103,0.8871,0.9658,,True
48,126.05083202,-0.0359662,402910417,727.51158917,10.228019999999999,86.35683512608337,,,,,,,,,,,,,,,,in,3077279814873923968,224.01917564,20.49917116,0.0,0.2,-0.1,0.2,-0.0,0.1,-0.3,18.5506,18.2399,17.7898,0.7608,1.182,107951260508337269,126.050835,-0.035967400000000004,18.601,0.018000000000000002,18.207,0.005,18.126,0.005,18.112,0.015,18.149,0.023,b'1255p000_b0-003173',126.0508177,-0.035954900000000005,-0.00118,-0.0031,0.0064,0.0069,77.8,107.7,14.29,0.014,12.778,0.01,5.98,6.91,-0.0147,4.7010000000000005,0.672,0.0,1.0,0.0,,1.3957,1.4567,1.4311,1.4278,,True
49,126.05275035,-0.0380619,402910417,727.51158917,10.228019999999999,86.35683512608337,,,,,,,,,,,,,,,,in,3077279819169630336,224.0221272,20.49982585,0.3,1.5,0.5,1.2,-1.0,0.9,-0.2,21.3203,20.5044,19.9159,1.4044,1.0659,107951260527504783,126.05275,-0.0380619,20.87,0.03,20.528,0.026,20.424,0.024,20.418,0.059,19.726,0.13699999999999998,b'1255p000_b0-023040',126.0527642,-0.0382491,-0.045,-0.03756,0.0326,0.038,29.8,30.1,16.53,0.036000000000000004,15.308,0.036000000000000004,0.88,0.01,-0.1931,0.08,-1.097,0.0,1.0,0.0,,1.3529,1.3725,1.3842,1.3698,,True
50,176.82658579,55.17879892,4514,460.2116759,15.437320000000001,73.81877655348428,,,,,,,,,,,,,,,,in,841695877848861696,141.10700369,59.62856023,-0.8,1.0,1.1,1.0,0.7,1.2,0.4,20.4633,20.6796,18.6906,1.7727,3.5142,174211768265205273,176.82658,55.1788,20.743,0.031,19.668,0.018000000000000002,19.321,0.018000000000000002,18.945,0.017,18.801,0.077,b'1761p545_b0-001201',176.8266061,55.17880970000001,-0.02264,0.00212,0.0061,0.0069,81.0,103.5,14.389,0.013,13.371,0.01,4.78,7.88,2.2099,0.079,-1.102,0.039,0.961,0.0,,0.3133,0.3682,0.3177,0.3331,,True
51,176.83037691,55.17509738,4514,460.2116759,15.437320000000001,73.81877655348428,,,,,,,,,,,,,,,,in,841695877848459520,141.1068209,59.63284737,-0.4,0.6,-0.5,0.6,-0.4,0.6,0.5,20.151,20.2585,18.7447,1.4063,2.4979,174211768303750839,176.83037,55.1751,20.265,0.009000000000000001,19.436,0.006,19.244,0.006999999999999999,18.906,0.01,18.921,0.024,b'1761p545_b0-002989',176.8303467,55.1750956,-0.01115,-0.0029,0.0131,0.0142,61.7,51.1,15.454,0.018000000000000002,14.815,0.021,0.33,11.57,1.2387,0.306,-0.515,0.141,0.8590000000000001,0.0,0.3458,0.2854,0.2498,0.3015,0.2789,,True
52,57.18088418,-13.14543138,494228565,15.44404156,14.133,73.27911817134492,57.20804,-13.1618,0.3109,0.71,280366.0,,,,,,,,,,,in,5114038488725626624,203.31588001,-46.36433046,-0.0,0.3,0.4,0.3,-0.0,0.3,0.1,19.3012,19.2688,18.1751,1.1261,1.8565,92220571808625851,57.180885,-13.14543,19.777,0.015,18.959,0.014,18.826,0.016,18.537,0.042,18.507,0.049,b'0574m137_b0-001156',57.1808845,-13.1454157,-0.01438,-0.0008900000000000002,0.0063,0.006,80.3,101.4,13.892,0.014,13.054,0.011,15.96,2.58,0.6275,0.63,-0.2,0.009000000000000001,0.991,0.0,0.3636,0.419,0.3585,0.3554,0.3776,,True
53,57.1842644,-13.14757085,494228565,15.44404156,14.133,73.27911817134492,57.20804,-13.1618,0.3109,0.71,280366.0,,,,,,,,,,,in,5114038488725626368,203.32074195,-46.36229202,-0.0,0.1,0.1,0.1,0.1,0.1,0.0,17.5977,17.5774,17.0118,0.5859,1.4204,92220571842403272,57.184265,-13.147572,17.527,0.02,17.483,0.009000000000000001,17.646,0.009000000000000001,16.968,0.018000000000000002,17.430999999999994,0.019,b'0574m137_b0-000547',57.1842588,-13.1475771,-0.00486,-0.00358,0.0049,0.0046,84.8,115.5,12.938,0.013,11.868,0.009000000000000001,4.09,4.13,0.236,9.643,0.984,0.0,1.0,0.0,0.3592,0.3338,0.3533,0.3377,0.3416,0.3287,True
54,191.76053417,40.40283119,9333,78.75463182,13.167760000000001,95.01096792172468,,,,,,,,,,,,,,,,not in,1521882358092708224,126.57033444,76.69434892,0.9,0.7,0.3,0.5,0.3,0.5,0.1,20.3383,20.408,19.6991,0.6392,1.582,156481917605034022,191.76053,40.40283,20.098,0.022,20.036,0.02,19.862,0.02,19.763,0.033,19.76,0.068,b'1918p408_b0-001947',191.7605417,40.4028219,0.0033,0.01436,0.0101,0.0113,65.4,73.0,15.128,0.017,14.261,0.015,13.07,25.32,0.394,0.44,-0.35700000000000004,0.0,1.0,0.0,0.3465,0.5828,0.7845,0.4719,0.6131,,True
55,191.76499778,40.40418227,9333,78.75463182,13.167760000000001,95.01096792172468,,,,,,,,,,,,,,,,not in,1521882353797040256,126.55517203,76.69325312,-0.2,0.2,0.1,0.2,-0.0,0.2,0.1,19.1486,19.0909,18.74,0.4085,1.2692,156481917649695633,191.765,40.404182,19.166,0.011,19.223,0.018000000000000002,19.206,0.018000000000000002,19.055,0.011,19.135,0.032,b'1918p408_b0-001268',191.7650148,40.4042088,0.00916,0.02942,0.0076,0.0087,71.5,88.7,14.597,0.015,13.705,0.012,2.84,38.0,0.0957,4.702,0.672,0.0,0.999,0.0,0.7212,0.7247,0.6965,0.7308,0.7174,,True
56,181.3734688,39.71482541,9624,580.77038408,11.760060000000001,98.7697095082767,,,,,,,,,,,,,,,,not in,4034071912786251904,157.18557901,74.20829788,-0.1,0.3,-0.0,0.3,-0.1,0.3,-0.0,20.1935,19.6983,19.1733,1.0201,1.1423,155651813734408426,181.37346,39.71483,20.143,0.022,19.712,0.019,19.43,0.017,19.404,0.022,19.232,0.041,b'1819p393_b0-001653',181.3734961,39.71480379999999,0.02288,-0.01591,0.0098,0.0107,56.8,70.4,15.185,0.019,13.832,0.015,0.8,0.09,-0.0765,1.705,0.232,0.0,1.0,0.0,4.317,1.335,1.3474,1.3157,1.3327,,True
57,181.37738441,39.71356098,9624,580.77038408,11.760060000000001,98.7697095082767,,,,,,,,,,,,,,,,not in,4034071917081162624,157.18020407,74.21121883,-0.9,0.6,0.1,0.5,1.1,0.6,-0.1,20.4248,20.1947,20.0902,0.3347,1.0502,155651813774236782,181.37738,39.713562,20.25,0.018000000000000002,19.975,0.01,19.931,0.016,20.033,0.033,19.82,0.084,b'1819p393_b0-004207',181.3773386,39.713575,0.00883,-0.00288,0.017,0.0176,47.6,49.2,15.758,0.023,14.722,0.022,1.17,6.19,-0.1191,0.075,-1.123,0.0,1.0,0.0,1.3271,1.2843,1.3178,1.2677,1.2899,,True
